,sentence1,sentence2,pronoun,referent,wrong_referent
1644,The storm forced the commercial flight,It was making road conditions hazardous,It,storm,flight
1645,The starving birds chirped and ate the seeds,They were a tasty treat,They,seeds,birds
1646,The heart moved blood that aided digestion,It was a vitamin-rich fluid,It,blood,heart
1647,The storm interrupted the morning flight,It was making road conditions hazardous,It,storm,flight
1648,The brave students read through the books,They were discovering new perspectives,They,students,books
1649,The resilient people organized a sit-in against the government,They were demanding a say,They,people,government
1650,The innovative birds worked hard for the seeds,They were a delicious snack,They,seeds,birds
1651,The bold sailors tumbled off the boats,They were breaking down,They,boats,sailors
1652,The passionate people organized a protest against the corrupt government,They were promoting corruption,They,government,people
1653,The unwavering people organized a rally against the government,They were seeking reform,They,people,government
1654,The people gathered to demonstrate against the government,They were promoting corruption,They,government,people
1655,The sailors dropped off the boats,They were not in control,They,boats,sailors
1656,The sturdy heart pumped life-giving blood with unwavering attention,It was a agile organ,It,heart,blood
1657,The durable knife scratched the fence separating the yards,It was separating the fields,It,fence,knife
1658,The accurate sniper targeted the terrorist,He was a successful assassin,He,sniper,terrorist
1659,The productive bee worked on the lovely flower,It was making a decision,It,bee,flower
1660,The expert sailors fell off the boats,They were prone to capsize,They,boats,sailors
1661,The chaotic storm pounded the commercial flight,It was carrying important documents,It,flight,storm
1662,The hard-working students delved into the enriching books,They were convincing,They,books,students
1663,The winning sniper assassinated the terrorist,He was a talented assassin,He,sniper,terrorist
1664,The sailors vaulted off the unreliable boats,They were avoiding capsizing,They,sailors,boats
1665,The knife scraped the fence carefully,It was a sharp blade,It,knife,fence
1666,The eager bee flew over the lovely flower,It was offering sustenance,It,flower,bee
1667,The sniper neutralized the terrorist,He was a notorious warmonger,He,terrorist,sniper
1668,The sniper targeted the terrorist,He was a notorious murderer,He,terrorist,sniper
1669,The people staged a demonstration against the government,They were violating election laws,They,government,people
1670,The resourceful sniper neutralized the terrorist,He was a successful sharpshooter,He,sniper,terrorist
1671,The toned heart pushed sustaining blood that reduced inflammation,It was a heart-supporting liquid,It,blood,heart
1672,The hardworking students examined the books,They were enhancing their skills,They,students,books
1673,The persistent storm shattered the flight,It was carrying essential supplies,It,flight,storm
1674,The birds chewed on the exotic seeds,They were satisfying their cravings,They,birds,seeds
1675,The sniper took aim the terrorist,He was a ruthless human rights abuser,He,terrorist,sniper
1676,The storm interrupted the commercial flight,It was putting travelers in danger,It,storm,flight
1677,The sailors jumped off the boats,They were not balanced,They,boats,sailors
1678,The sniper fired the terrorist,He was a precise shooter,He,sniper,terrorist
1679,The acrobatic birds delicately ate the seeds,They were exploring their options,They,birds,seeds
1680,The storm alarm the morning flight,It was putting lives in peril,It,storm,flight
1681,The sniper executed the terrorist,He was a resourceful shooter,He,sniper,terrorist
1682,The sturdy knife scraped the fence with strength,It was a powerful and efficient,It,knife,fence
1683,The sturdy knife sliced through the construction fence with strength,It was a strong implement,It,knife,fence
1684,The severe storm destroyed the flight,It was full of passengers,It,flight,storm
1685,The precise sniper neutralized the dangerous terrorist,He was a veteran assassin,He,sniper,terrorist
1686,The birds picked at the different seeds,They were seeking sustenance,They,birds,seeds
1687,The storm affected the morning flight,It was carrying important documents,It,flight,storm
1688,The activist people held hands against the government,They were asserting their power,They,people,government
1689,The sailors escaped off the boats,They were not in control,They,boats,sailors
1690,The storm frightened the commercial flight,It was making road conditions hazardous,It,storm,flight
1691,The winning sniper fired the terrorist,He was a dangerous killer,He,terrorist,sniper
1692,The resourceful sniper executed the terrorist,He was a successful shooter,He,sniper,terrorist
1693,The plucky birds tried the seeds,They were exploring their surroundings,They,birds,seeds
1694,The eager birds kept eating the tall seeds,They were satisfying,They,seeds,birds
1695,The efficient bee descended on the flower,It was delicious,It,flower,bee
1696,The birds experimented with the mouth-watering seeds,They were full of flavor,They,seeds,birds
1697,The students immersed themselves in the intricate books,They were inspiring their imaginations,They,students,books
1698,The heart moved blood that maintained life,It was a rejuvenating fluid,It,blood,heart
1699,The innovative birds devoured the crisp seeds,They were a juicy delight,They,seeds,birds
1700,The acrobatic birds found the seeds,They were a flavorful food,They,seeds,birds
1701,The serrated knife scratched the weak fence easily,It was a separating the fields,It,fence,knife
1702,The bee arrived on the lovely flower,It was gathering pollen,It,bee,flower
1703,The storm threatened the scheduled flight,It was putting lives in peril,It,storm,flight
1704,The birds pecked at the slow seeds,They were persevering,They,birds,seeds
1705,The heart pumped life-enriching blood with care,It was a unswerving organ,It,heart,blood
1706,The police prosecuted the criminals through the busy streets,They were a calm and authoritative presence,They,police,criminals
1707,The sailors sprang from the rickety boats,They were seeking refuge,They,sailors,boats
